Brand,Type,Date of production,Type of fuel,Rolling mill,Cylinders,Engine size (cm?),Gearbox,Fuel consumption (l),Power (HP),Price (Ft)
Audi,A1,2010,Gasoline,Serial,4,1390.00,Manual,5.30,122.00,5824750.00
Audi,A1,2012,Gasoline,Serial,4,1197.00,Manual,5.10,86.00,4574770.00
Audi,A1,2014,Gasoline,Serial,4,1390.00,Manual,4.90,140.00,6021300.00
Audi,A1,2015,Gasoline,Serial,3,999.00,Manual,4.20,95.00,5330740.00
Audi,A1,2015,Gasoline,Serial,4,1395.00,Manual,5.10,125.00,6183860.00
Audi,A1,2015,Gasoline,Serial,4,1395.00,Manual,4.70,150.00,7458940.00
Audi,A1,2019,Gasoline,Serial,3,1422.00,Manual,3.60,90.00,6454370.00
Audi,A1,2019,Gasoline,Serial,3,999.00,Manual,,95.00,6500000.00
Audi,A1,2020,Gasoline,Serial,4,1498.00,Automatic,4.80,150.00,6400000.00
Audi,A1,2022,Gasoline,Serial,3,999.00,Automatic,5.50,110.00,7797080.00
Audi,A2,2000,Gasoline,Serial,4,1390.00,Manual,6.00,75.00,4840000.00
Audi,A2,2002,Gasoline,Serial,4,1390.00,Manual,6.00,75.00,5112000.00
Audi,A2,2001,Diesel,Serial,3,1191.00,Automatic,3.00,61.00,5424000.00
Audi,A2,2000,Diesel,Serial,3,1422.00,Manual,4.30,75.00,5417000.00
Audi,A2,2002,Diesel,Serial,3,1422.00,Manual,4.30,75.00,5674000.00
Audi,A2,2002,Gasoline,Serial,4,1598.00,Manual,5.90,110.00,5800000.00
Audi,A2,2003,Diesel,Serial,3,1422.00,Manual,4.30,90.00,5700000.00
Audi,A3,1998,Gasoline,Serial,4,1595.00,Automatic,4.60,101.00,5240000.00
Audi,A3,1999,Gasoline,Serial,4,1781.00,Manual,8.90,180.00,9431000.00
Audi,A3,2001,Gasoline,Serial,4,1781.00,Automatic,8.90,150.00,6545000.00
Audi,A3,2001,Diesel,Serial,4,1896.00,Manual,5.00,101.00,6476000.00
Audi,A3,2007,Gasoline,Serial,4,1798.00,Manual,7.10,160.00,6849000.00
Audi,A3,2008,Diesel,Serial,4,1968.00,Manual,5.10,140.00,7769000.00
Audi,A3,2010,Diesel,Serial,4,1968.00,Manual,4.40,140.00,7709280.00
Audi,A3,2013,Gasoline,Serial,4,1798.00,Automatic,6.60,180.00,9244710.00
Audi,A3,2014,Diesel,Serial,4,1968.00,Manual,4.70,150.00,9350120.00
Audi,A3,2017,Gasoline,Serial,4,1498.00,Manual,5.20,150.00,6642010.00
Audi,A3,2018,Gasoline,Serial,3,999.00,Automatic,5.30,116.00,8358420.00
Audi,A3,2021,Gasoline,Serial,4,1498.00,Automatic,,131.00,12001300.00
Audi,A3,2022,Gasoline,Serial,4,1984.00,Automatic,6.60,190.00,14026730.00
Audi,A4,1995,Gasoline,Serial,4,1781.00,Automatic,9.10,101.00,7453000.00
Audi,A4,1999,Diesel,V,6,2496.00,Automatic,8.50,150.00,12345000.00
