Brand,Type,Date of production,Type of fuel,Rolling mill,Cylinders,Engine size (cm?),Gearbox,Fuel consumption (l),Power (HP),Price (Ft)
Audi,A4,2001,Diesel,Serial,4,1896.00,Manual,5.70,150.00,8265000.00
Audi,A4,2006,Diesel,V,6,2976.00,Automatic,8.30,131.00,12820000.00
Audi,A4,2009,Diesel,Serial,4,1968.00,Manual,4.90,233.00,9009250.00
Audi,A4,2011,Diesel,Serial,4,1968.00,Automatic,4.80,136.00,9032620.00
Audi,A4,2014,Gasoline,V,6,2995.00,Automatic,7.50,143.00,12842190.00
Audi,A4,2015,Diesel,V,6,2967.00,Automatic,4.20,272.00,13400610.00
Audi,A4,2018,Gasoline,Serial,4,1984.00,Automatic,5.90,218.00,11457520.00
Audi,A4,1998,Gasoline,Serial,4,1595.00,Manual,7.90,190.00,5528000.00
Audi,A5,2008,Gasoline,Serial,4,1984.00,Manual,6.60,211.00,12015000.00
Audi,A5,2011,Diesel,Serial,4,1968.00,Automatic,4.70,177.00,11744070.00
Audi,A5,2013,Gasoline,Serial,4,1984.00,Manual,5.90,224.00,11631510.00
Audi,A5,2015,Gasoline,Serial,4,1798.00,Manual,5.50,177.00,10634090.00
Audi,A5,2014,Diesel,Serial,4,1968.00,Manual,4.90,190.00,11822810.00
Audi,A5,2016,Diesel,Serial,4,1968.00,Manual,4.40,190.00,13091540.00
Audi,A5,2017,Diesel,Serial,4,1968.00,Manual,4.60,150.00,12495910.00
Audi,A5,2019,Gasoline,V,6,2894.00,Automatic,9.00,450.00,26137820.00
Audi,A5,2020,Gasoline,Serial,4,1984.00,Automatic,6.80,245.00,17220780.00
Audi,A5,2020,Diesel,Serial,4,1968.00,Automatic,4.80,204.00,14192050.00
Audi,A6,1994,Gasoline,Serial,4,1983.00,Manual,9.30,116.00,7228000.00
Audi,A6,1995,Gasoline,Serial,4,1781.00,Manual,9.30,125.00,8176000.00
Audi,A6,1994,Gasoline,V,6,2770.00,Manual,,174.00,11752000.00
Audi,A6,1994,Diesel,Serial,5,2461.00,Automatic,,140.00,10176000.00
Audi,A6,1994,Gasoline,V,6,2770.00,Automatic,,174.00,13376000.00
Audi,A6,1995,Gasoline,Serial,4,1781.00,Manual,,125.00,8766000.00
Audi,A6,1994,Gasoline,V,6,2770.00,Automatic,,174.00,12951000.00
Audi,A6,1994,Diesel,Serial,5,2460.00,Manual,,116.00,9650000.00
Audi,A6,1994,Gasoline,V,6,2597.00,Automatic,,150.00,12650000.00
Audi,A6,1994,Gasoline,Serial,5,2225.00,Manual,,230.00,15996000.00
Audi,A6,1995,Gasoline,V,8,4170.00,Automatic,,290.00,19338000 
Audi,A6,1997,Gasoline,V,6,2393.00,Manual,9.20,165.00,11859000.00
Audi,A6,1997,Gasoline,Serial,4,1781.00,Manual,8.80,150.00,11528000.00
Audi,A6,1997,Diesel,V,6,2496.00,Automatic,6.80,150.00,12646000.00
Audi,A6,1998,Gasoline,V,6,2771.00,Manual,10.00,193.00,13123000.00
Audi,A6,1998,Diesel,V,6,2496.00,Automatic,8.20,150.00,14786000.00
Audi,A6,2002,Gasoline,V,6,2976.00,Manual,9.70,220.00,13024000.00
Audi,A6,2002,Gasoline,V,6,2393.00,Automatic,11.20,170.00,13559000.00
Audi,A6,2001,Gasoline,V,6,2976.00,Automatic,11.30,220.00,13424000.00
Audi,A6,2002,Diesel,V,6,2496.00,Manual,7.00,173.00,11913000.00
Audi,A6,2001,Gasoline,Serial,4,1984.00,Automatic,8.30,131.00,14435000.00
Audi,A6,2001,Gasoline,V,6,2976.00,Automatic,9.70,220.00,14766000.00
Audi,A6,2002,Gasoline,V,6,2976.00,Manual,11.30,220.00,12550000.00
Audi,A6,2002,Diesel,V,6,2496.00,Manual,7.00,163.00,17212000.00
Audi,A6,2002,Gasoline,V,6,3123.00,Automatic,10.00,256.00,13898000.00
Audi,A6,2004,Gasoline,V,6,2773.00,Manual,8.80,209.00,14688000.00
Audi,A6,2006,Diesel,V,4,2698.00,Automatic,8.40,180.00,9809000.00
Audi,A6,2004,Diesel,Serial,4,1968.00,Manual,6.00,170.00,10468000.00
Audi,A6,2004,Diesel,Serial,8,1968.00,Manual,6.00,163.00,33593990.00
Audi,A6,2004,Gasoline,V,8,3993.00,Automatic,9.80,560.00,25415190.00
Audi,A6,2009,Gasoline,V,6,3993.00,Manual,9.20,450.00,18598720.00
Audi,A6,2010,Diesel,V,4,2967.00,Automatic,6.20,320.00,13854810.00
Audi,A6,2013,Diesel,Serial,6,1968.00,Automatic,4.90,190.00,19428410.00
Audi,A6,2014,Gasoline,V,6,2995.00,Automatic,6.90,340.00,24321340.00
Audi,A6,2014,Diesel,V,6,2967.00,Automatic,6.20,350.00,18619040.00
Audi,A6,2014,Diesel,V,6,2967.00,Automatic,5.80,286.00,20143040.00
Audi,A6,2014,Diesel,V,4,2967.00,Automatic,5.90,231.00,19420640.00
Audi,A6,2017,Gasoline,Serial,4,1984.00,Automatic,7.20,265.00,25804930.00
Audi,A6,2018,Gasoline,Serial,6,1984.00,Automatic,,265.00,25743970.00
Audi,A6,2020,Diesel,V,6,2967.00,Automatic,6.00,245.00,26878080.00
Audi,A6,2020,Gasoline,V,6,2995.00,Automatic,7.40,340.00,25953520.00
Audi,A6,2023,Diesel,V,6,2967.00,Automatic,5.90,286.00,25953520.00
Audi,A6,2023,Diesel,V,6,2967.00,Automatic,6.40,344.00,28907540.00
Audi,A7,2011,Gasoline,V,6,2773.00,Automatic,7.40,204.00,15808910.00
Audi,A7,2011,Diesel,V,6,2967.00,Automatic,5.10,204.00,16592120.00
Audi,A7,2012,Diesel,V,6,2967.00,Automatic,6.40,313.00,19361990.00
Audi,A7,2014,Gasoline,V,8,3993.00,Automatic,9.50,560.00,36821000.00
Audi,A7,2014,Diesel,V,6,2967.00,Automatic,6.10,320.00,20245000.00
Audi,A7,2012,Diesel,V,6,2967.00,Automatic,6.20,245.00,17806000.00
Audi,A7,2015,Diesel,V,6,2967.00,Automatic,4.50,190.00,20000000.00
Audi,A7,2019,Diesel,Serial,4,1968.00,Automatic,,204.00,23000000.00
Audi,A7,2021,Gasoline,Serial,4,1984.00,Automatic,1.60,265.00,26800000.00
Audi,A7,2020,Gasoline,Serial,4,1984.00,Automatic,7.10,265.00,20000000.00
Audi,A7,2020,Gasoline,Serial,4,1984.00,Automatic,7.10,265.00,21337000.00
Audi,A7,2020,Diesel,V,6,2967.00,Automatic,6.10,245.00,22529000.00
Audi,A7,2020,Diesel,V,6,2967.00,Automatic,6.50,344.00,27562000.00
Audi,A7,2024,Gasoline,Serial,4,1984.00,Automatic,,265.00,34879000.00
Audi,A7,2011,Gasoline,V,6,2773.00,Automatic,8.00,204.00,16876000.00
Audi,A7,2012,Gasoline,V,6,2995.00,Automatic,8.20,310.00,19091000.00
Audi,A7,2011,Gasoline,V,6,2995.00,Automatic,8.20,299.00,19646000.00
Audi,A7,2011,Diesel,V,6,2967.00,Automatic,5.80,204.00,17660000.00
Audi,A7,2014,Diesel,V,6,2967.00,Automatic,6.10,326.00,22851000.00
Audi,A7,2015,Gasoline,V,8,3993.00,Automatic,9.50,605.00,38941000.00
BMW,1,2004,Gasoline,Serial,4,1596.00,Manual,7.50,116.00,5515000.00
BMW,1,2012,Diesel,Serial,4,1995.00,Automatic,4.40,184.00,8634900.00
BMW,1,2015,Gasoline,Serial,3,1499.00,Automatic,4.80,136.00,8714800.00
BMW,1,2015,Diesel,Serial,3,1496.00,Manual,3.40,116.00,8568000.00
BMW,1,2016,Gasoline,Serial,4,1998.00,Manual,5.70,184.00,9342000.00
BMW,1,2017,Gasoline,Serial,6,2998.00,Automatic,7.10,340.00,13844100.00
BMW,1,2012,Diesel,Serial,4,1598.00,Manual,4.10,95.00,10000000.00
BMW,1,2018,Gasoline,Serial,3,1499.00,Manual,6.00,136.00,8925000.00
BMW,1,2018,Diesel,Serial,4,1995.00,Automatic,5.20,190.00,11449000.00
BMW,1,2020,Gasoline,Serial,4,1998.00,Automatic,6.40,265.00,13277000.00
BMW,2,2013,Gasoline,Serial,4,1997.00,Manual,6.10,184.00,8499000.00
BMW,2,2015,Diesel,Serial,4,1995.00,Automatic,4.30,224.00,12167000.00
BMW,2,2015,Gasoline,Serial,3,1499.00,Automatic,5.30,136.00,11341800.00
BMW,2,2015,Diesel,Serial,3,1496.00,Manual,3.90,95.00,8937900.00
BMW,2,2015,Gasoline,Serial,3,1499.00,Manual,5.10,102.00,8122000.00
BMW,2,2017,Diesel,Serial,4,1995.00,Manual,4.10,190.00,11124000.00
BMW,2,2018,Diesel,Serial,4,1995.00,Manual,5.10,150.00,11641000.00
BMW,2,2018,Diesel,Serial,4,1995.00,Automatic,4.80,150.00,12342400.00
BMW,2,2019,Gasoline,Serial,3,1499.00,Manual,,140.00,8980000.00
BMW,2,2022,Gasoline,Serial,6,2993.00,Manual,,460.00,27918900.00
BMW,3,1994,Gasoline,Serial,4,1596.00,Manual,7.70,102.00,4835000.00
BMW,3,2007,Gasoline,Serial,6,2979.00,Manual,9.30,306.00,13583000.00
BMW,3,2010,Diesel,Serial,6,2993.00,Manual,6.50,245.00,14046000.00
BMW,3,2015,Diesel,Serial,4,1995.00,Manual,5.10,218.00,13765000.00
BMW,3,2015,Gasoline,Serial,6,2998.00,Automatic,6.80,326.00,15460000.00
BMW,3,2016,Diesel,Serial,4,1995.00,Automatic,4.70,224.00,15571000.00
BMW,3,2017,Gasoline,Serial,3,1499.00,Manual,5.40,136.00,11950000.00
BMW,3,2018,Gasoline,Serial,4,1998.00,Automatic,6.70,184.00,14869000.00
BMW,3,2023,Gasoline,Serial,6,2993.00,Automatic,,551.00,58000000.00
BMW,3,2019,Diesel,Serial,4,1995.00,Automatic,4.70,150.00,12348100.00
BMW,4,2014,Gasoline,Serial,4,1997.00,Manual,6.40,184.00,10998000.00
BMW,4,2015,Diesel,Serial,6,2993.00,Automatic,5.40,313.00,17590000.00
BMW,4,2015,Gasoline,Serial,6,2979.00,Automatic,7.80,306.00,17890500.00
BMW,4,2016,Diesel,Serial,4,1995.00,Automatic,4.40,224.00,13849500.00
BMW,4,2016,Diesel,Serial,4,1995.00,Automatic,4.60,224.00,15557500.00
BMW,4,2017,Gasoline,Serial,4,1998.00,Manual,5.80,184.00,11691000.00
BMW,4,2018,Gasoline,Serial,6,2998.00,Automatic,6.60,326.00,17267000.00
BMW,4,2018,Diesel,Serial,4,1995.00,Automatic,4.80,190.00,15574000.00
BMW,4,2020,Gasoline,Serial,4,1998.00,Automatic,5.80,184.00,13676000.00
BMW,4,2024,Diesel,Serial,6,2993.00,Automatic,,340.00,27740000.00
BMW,5,1994,Gasoline,Serial,4,1796.00,Manual,,116.00,6400000.00
BMW,5,1995,Gasoline,Serial,6,1991.00,Automatic,10.20,150.00,11174000.00
BMW,5,1997,Gasoline,Serial,6,2494.00,Automatic,10.70,170.00,12767000.00
BMW,5,2005,Diesel,Serial,4,1995.00,Manual,5.90,163.00,9800000.00
BMW,5,2007,Gasoline,V,8,4799.00,Automatic,10.30,367.00,21814100.00
BMW,5,2011,Diesel,Serial,6,2993.00,Automatic,5.30,258.00,14973800.00
BMW,5,2013,Gasoline,Serial,4,1997.00,Manual,7.00,245.00,14029000.00
BMW,5,2016,Diesel,Serial,6,2993.00,Automatic,5.00,265.00,17507000.00
BMW,5,2019,Gasoline,Serial,6,2998.00,Automatic,8.00,340.00,19614000.00
BMW,5,2024,Diesel,Serial,4,1995.00,Automatic,,197.00,26095000.00
Mercedes,A,1997,Gasoline,Serial,4,1397.00,Manual,6.80,82.00,3945000.00
Mercedes,A,2004,Gasoline,Serial,4,1498.00,Automatic,6.20,95.00,6066000.00
Mercedes,A,2008,Gasoline,Serial,4,1498.00,Automatic,6.20,95.00,6267400.00
Mercedes,A,2011,Gasoline,Serial,4,1699.00,Manual,6.80,116.00,6996810.00
Mercedes,A,2008,Diesel,Serial,4,1991.00,Manual,5.40,140.00,7446750.00
Mercedes,A,2015,Diesel,Serial,4,2143.00,Manual,4.10,136.00,8401900.00
Mercedes,A,2015,Diesel,Serial,4,2143.00,Automatic,4.10,177.00,10888560.00
Mercedes,A,2018,Gasoline,Serial,4,1332.00,Manual,5.80,136.00,9136610.00
Mercedes,A,2019,Diesel,Serial,4,1461.00,Manual,4.30,95.00,10028150.00
Mercedes,A,2022,Gasoline,Serial,4,1332.00,Automatic,,163.00,19512000.00
Mercedes,B,2005,Gasoline,Serial,4,1498.00,Manual,6.80,95.00,6253000.00
Mercedes,B,2009,Gasoline,Serial,4,1699.00,Manual,7.10,116.00,7411750.00
Mercedes,B,2008,Diesel,Serial,4,1991.00,Automatic,6.30,140.00,9326750.00
Mercedes,B,2012,Diesel,Serial,4,2143.00,Automatic,4.60,170.00,9883990.00
Mercedes,B,2014,Diesel,Serial,4,1461.00,Manual,3.60,109.00,9151850.00
Mercedes,B,2014,Gasoline,Serial,4,1595.00,Manual,5.80,122.00,7223670.00
Mercedes,B,2014,Diesel,Serial,4,1461.00,Manual,4.40,109.00,8596860.00
Mercedes,B,2019,Diesel,Serial,4,1461.00,Manual,4.30,116.00,9297900.00
Mercedes,B,2020,Diesel,Serial,4,1950.00,Automatic,5.10,116.00,13036040.00
Mercedes,B,2022,Gasoline,Serial,4,1332.00,Automatic,,163.00,18161000.00
Mercedes,C,1996,Gasoline,Serial,4,1799.00,Manual,,122.00,6313000.00
Mercedes,C,1996,Gasoline,Serial,4,1998.00,Manual,,136.00,8093750.00
Mercedes,C,2002,Gasoline,Serial,4,1796.00,Automatic,8.20,143.00,9047250.00
Mercedes,C,2001,Gasoline,V,6,2597.00,Manual,11.60,170.00,10411000.00
Mercedes,C,2004,Diesel,Serial,4,2148.00,Automatic,6.60,122.00,9878200.00
Mercedes,C,2007,Gasoline,V,6,2996.00,Automatic,9.60,231.00,13961600.00
Mercedes,C,2007,Gasoline,Serial,4,1796.00,Automatic,8.70,184.00,11064250.00
Mercedes,C,2011,Diesel,Serial,4,2143.00,Manual,5.10,170.00,11518480.00
Mercedes,C,2015,Gasoline,Serial,4,1991.00,Automatic,7.00,245.00,12643700.00
Mercedes,C,2021,Gasoline,Serial,4,1991.00,Automatic,6.60,258.00,19881000.00
Mercedes,E,1993,Gasoline,Serial,4,1997.00,Manual,,136.00,9581000.00
Mercedes,E,1999,Gasoline,Serial,4,1998.00,Manual,9.90,186.00,11836625.00
Mercedes,E,1999,Diesel,Serial,5,2685.00,Automatic,7.50,170.00,14174125.00
Mercedes,E,2003,Diesel,Serial,5,2685.00,Manual,7.10,177.00,12544000.00
Mercedes,E,2006,Diesel,Serial,4,2148.00,Automatic,7.30,170.00,14744800.00
Mercedes,E,2009,Gasoline,V,8,5461.00,Automatic,11.20,388.00,21457000.00
Mercedes,E,2013,Gasoline,V,6,3498.00,Automatic,7.00,252.00,15265350.00
Mercedes,E,2014,Diesel,Serial,4,2143.00,Automatic,4.90,170.00,14651570.00
Mercedes,E,2016,Gasoline,V,6,3498.00,Automatic,7.90,333.00,19869100.00
Mercedes,E,2023,Diesel,Serial,4,1993.00,Automatic,,197.00,30383000.00
Mercedes,G,1993,Gasoline,Serial,4,2299.00,Manual,,122.00,7424000.00
Mercedes,G,1994,Gasoline,Serial,6,3199.00,Automatic,14.40,211.00,17376250.00
Mercedes,G,2007,Diesel,V,6,2987.00,Automatic,11.50,224.00,22860000.00
Mercedes,G,2000,Diesel,V,8,3996.00,Automatic,12.80,250.00,23986250.00
Mercedes,G,2011,Gasoline,V,8,5461.00,Automatic,14.70,388.00,31629300.00
Mercedes,G,2015,Diesel,V,6,2987.00,Automatic,9.90,245.00,28605050.00
Mercedes,G,2015,Gasoline,V,12,5980.00,Automatic,17.00,630.00,88042700.00
Mercedes,G,2018,Gasoline,V,8,3982.00,Automatic,13.10,585.00,50565000.00
Mercedes,G,2020,Diesel,Serial,6,2925.00,Automatic,9.60,330.00,39625000.00
Mercedes,G,2007,Gasoline,V,8,5439.00,Automatic,15.90,500.00,40943250.00
